source,field,total,matched,missed,rate
001282_芜湖三联,investor_name,4,3,1,75.00%
001282_芜湖三联,subscription_amount,4,4,0,100.00%
001282_芜湖三联,subscription_shares,4,4,0,100.00%
001282_芜湖三联,price_per_share,4,4,0,100.00%
001282_芜湖三联,date,4,4,0,100.00%
001282_芜湖三联,total_capital_after,4,4,0,100.00%
301563_云汉芯城,investor_name,12,4,8,33.33%
301563_云汉芯城,subscription_amount,12,12,0,100.00%
301563_云汉芯城,subscription_shares,12,12,0,100.00%
301563_云汉芯城,price_per_share,12,12,0,100.00%
301563_云汉芯城,date,12,12,0,100.00%
301563_云汉芯城,total_capital_after,12,12,0,100.00%
301581_黄山谷捷,investor_name,14,4,10,28.57%
301581_黄山谷捷,subscription_amount,14,12,2,85.71%
301581_黄山谷捷,subscription_shares,14,13,1,92.86%
301581_黄山谷捷,price_per_share,14,14,0,100.00%
301581_黄山谷捷,date,14,12,2,85.71%
301581_黄山谷捷,total_capital_after,14,14,0,100.00%
603418_上海友升,investor_name,21,3,18,14.29%
603418_上海友升,subscription_amount,21,20,1,95.24%
603418_上海友升,subscription_shares,21,20,1,95.24%
603418_上海友升,price_per_share,21,21,0,100.00%
603418_上海友升,date,21,19,2,90.48%
603418_上海友升,total_capital_after,21,21,0,100.00%
688758_苏州赛分,investor_name,8,2,6,25.00%
688758_苏州赛分,subscription_amount,8,7,1,87.50%
688758_苏州赛分,subscription_shares,8,7,1,87.50%
688758_苏州赛分,price_per_share,8,8,0,100.00%
688758_苏州赛分,date,8,7,1,87.50%
688758_苏州赛分,total_capital_after,8,8,0,100.00%
688775_影石创新,investor_name,40,2,38,5.00%
688775_影石创新,subscription_amount,40,39,1,97.50%
688775_影石创新,subscription_shares,40,40,0,100.00%
688775_影石创新,price_per_share,40,40,0,100.00%
688775_影石创新,date,40,40,0,100.00%
688775_影石创新,total_capital_after,40,40,0,100.00%
920100_常州三协,investor_name,11,4,7,36.36%
920100_常州三协,subscription_amount,11,8,3,72.73%
920100_常州三协,subscription_shares,11,10,1,90.91%
920100_常州三协,price_per_share,11,11,0,100.00%
920100_常州三协,date,11,7,4,63.64%
920100_常州三协,total_capital_after,11,11,0,100.00%
920116_中科星图,investor_name,14,5,9,35.71%
920116_中科星图,subscription_amount,14,10,4,71.43%
920116_中科星图,subscription_shares,14,14,0,100.00%
920116_中科星图,price_per_share,14,14,0,100.00%
920116_中科星图,date,14,9,5,64.29%
920116_中科星图,total_capital_after,14,14,0,100.00%
