source,event_index,prev_total,subscription,next_total,expected,diff,is_valid,message
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,1462.43,,,,N/A,数据不完整，无法校验
三协电机,1,1462.43,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,3344.44,,,,N/A,数据不完整，无法校验
三协电机,1,3344.44,269084308.96,,269087653.4,,N/A,数据不完整，无法校验
三协电机,1,269084308.96,1800.0,,269086108.96,,N/A,数据不完整，无法校验
三协电机,1,1800.0,360.0,,2160.0,,N/A,数据不完整，无法校验
三协电机,1,360.0,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,5310.93,,,,N/A,数据不完整，无法校验
三协电机,1,5310.93,321.5,,5632.43,,N/A,数据不完整，无法校验
三协电机,1,321.5,3344.44,,3665.94,,N/A,数据不完整，无法校验
三协电机,1,3344.44,5310.93,,8655.37,,N/A,数据不完整，无法校验
三协电机,1,5310.93,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,800.0,,,,N/A,数据不完整，无法校验
三协电机,1,800.0,32.0,,832.0,,N/A,数据不完整，无法校验
三协电机,1,32.0,,,,,N/A,数据不完整，无法校验
三协电机,1,,865.0,,,,N/A,数据不完整，无法校验
三协电机,1,865.0,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,6.0,,,,N/A,数据不完整，无法校验
三协电机,1,6.0,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,1.0,,,,N/A,数据不完整，无法校验
三协电机,1,1.0,530.0,,531.0,,N/A,数据不完整，无法校验
三协电机,1,530.0,1.0,,531.0,,N/A,数据不完整，无法校验
三协电机,1,1.0,1462.43,,1463.43,,N/A,数据不完整，无法校验
三协电机,1,1462.43,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,318.5,,,,N/A,数据不完整，无法校验
三协电机,1,318.5,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,5300000.0,,,,N/A,数据不完整，无法校验
三协电机,1,5300000.0,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,1,,,,,,N/A,数据不完整，无法校验
三协电机,2,,,,,,N/A,数据不完整，无法校验
